Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000164068];ENSG00000164068;;ENSG00000164068;Outlier;[KPC1, RNF123, 63891, FP1477];[121971];RNF123;63891;ENSP00000328287;"63891;ENSP00000328287"
[ENSG00000097007];ENSG00000097007;;ENSG00000097007;Outlier;[v-abl, bcr/abl, 25, JTK7, ABL1, c-ABL1, c-ABL, RP11-83J21.1, ABL, p150];[106543];ABL1;25;ENSP00000361423;"25;ENSP00000361423"
[ENSG00000175305];ENSG00000175305;;ENSG00000175305;Outlier;[9134, CYCE2, CCNE2];[114582];CCNE2;9134;ENSP00000309181;"9134;ENSP00000309181"
[ENSG00000163806];ENSG00000163806;;ENSG00000163806;Outlier;[RINGO3, SPY1, RINGOA, SPDYA, SPDY1, 245711];[128828];SPDYA;245711;ENSP00000335628;"245711;ENSP00000335628"
[ENSG00000125347];ENSG00000125347;ENSG00000125347;ENSG00000125347;Outlier;[IRF1, IRF-1, 3659, MAR];[109867];IRF1;3659;ENSP00000245414;"3659;ENSP00000245414"
[ENSG00000134308];ENSG00000134308;ENSG00000134308;ENSG00000134308;Outlier;[14-3-3, 1C5, YWHAQ, HS1, 10971];[116168];YWHAQ;10971;ENSP00000238081;"10971;ENSP00000238081"
[ENSG00000173207];ENSG00000173207;;ENSG00000173207;"Cluster;Outlier";[RP11-307C12.6, PNAS-18, ckshs1, PNAS-16, CKS1, 1163, CKS1B];[107582];RP11-307C12.6;1163;1163;1163
[ENSG00000064012];ENSG00000064012;;ENSG00000064012;Outlier;[ALPS2B, CASP8, 841, Casp-8, MCH5, MACH, FLICE, CAP4];[107291];ALPS2B;841;841;"841;ENSP00000351273"
[ENSG00000143947];ENSG00000143947;;ENSG00000143947;Outlier;[UBA80, 6233, CEP80, UBC, UBCEP80, RPS27A, UBCEP1, HEL112, S27A];[112147];UBA80;6233;6233;"6233;ENSP00000272317"
[ENSG00000096968];ENSG00000096968;;ENSG00000096968;Outlier;[3717, THCYT3, JTK10, JAK2];[109920];THCYT3;3717;3717;"3717;ENSP00000371067"
[ENSG00000166913];ENSG00000166913;;ENSG00000166913;Outlier;[YWHAA, YWHAB, GW128, HS1, RP1-148E22.1, HEL-S-1, 7529, KCIP-1];[113361];YWHAA;7529;7529;"7529;ENSP00000300161"
[ENSG00000170027];ENSG00000170027;;ENSG00000170027;Outlier;[14-3-3GAMMA, 7532, PPP1R170, YWHAG];[113364];YWHAG;7532;ENSP00000306330;"7532;ENSP00000306330"
[ENSG00000073111];ENSG00000073111;;ENSG00000073111;Outlier;[MITOTIN, D3S3194, CDCL1, cdc19, CCNL1, BM28, 4171, MCM2];[110339];MITOTIN;4171;4171;"4171;ENSP00000265056"
