Matching.Attribute;;cl1.Status;Ensembl;Ensembl-by-entrez_ncbi-combined;Ensembl-by-hgnc-label;entrez gene/locuslink;Human Readable Label;Label;biogrid;ncbi_gene_id
ENSG00000140575;;"Cluster;Outlier";ENSG00000140575;ENSG00000140575;;HUMORFA01|IQGAP1|SAR1|8826|p195;HUMORFA01;IQGAP1;114353;8826
ENSG00000065361;;Outlier;ENSG00000065361;ENSG00000065361;;ErbB-3|p180-ErbB3|LCCS2|c-erbB-3|2065|c-erbB3|MDA-BF-1|erbB3-S|p45-sErbB3|ERBB3|p85-sErbB3|HER3;ErbB-3;ERBB3;108377;2065
ENSG00000113328;;"Cluster;Overlap";ENSG00000113328;ENSG00000113328;;CCNG|CCNG1|900;CCNG;CCNG1;107340;900
ENSG00000138764;;"Cluster;Outlier";ENSG00000138764;ENSG00000138764;ENSG00000138764;CCNG2|901;CCNG2;CCNG2;107341;901
ENSG00000163235;;"Cluster;Overlap";ENSG00000163235;ENSG00000163235;ENSG00000163235;7039|TGFA|TFGA;TGFA;TGFA;112897;7039
ENSG00000083168;;"Cluster;Outlier";ENSG00000083168;ENSG00000083168;;MYST3|ZNF220|7994|KAT6A|RUNXBP2|ZC2HC6A|MOZ;MYST3;KAT6A;113703;7994
ENSG00000123124;;"Cluster;Outlier";ENSG00000123124;ENSG00000123124;;AIP5|hSDRP1|Tiul1|WWP1|11059;AIP5;WWP1;116243;11059
ENSG00000119630;;Cluster;ENSG00000119630;ENSG00000119630;;SHGC-10760|PlGF-2|PGFL|D12S1900|5228|PGF|PLGF;SHGC-10760;PGF;111249;5228
ENSG00000173511;;Cluster;ENSG00000173511;ENSG00000173511;;VEGFL|7423|VEGFB|VRF;VEGFL;VEGFB;113266;7423
ENSG00000099250;;Cluster;ENSG00000099250;ENSG00000099250;ENSG00000099250;NRP1|BDCA4|CD304|RP11-342D11.1|VEGF165R|8829|NRP|NP1;NRP1;NRP1;114356;8829
ENSG00000138798;;Outlier;ENSG00000138798;ENSG00000138798;ENSG00000138798;1950|EGF|HOMG4|URG;EGF;EGF;108270;1950
ENSG00000041982;;Outlier;ENSG00000041982;ENSG00000041982;;HXB|TN-C|TNC|GP|TN|3371|DFNA56|150-225|GMEM|JI;HXB;TNC;109602;3371
ENSG00000129946;;Outlier;ENSG00000129946;ENSG00000129946;;25759|SLI|SHC2|SHCB|SCK;SLI;SHC2;117302;25759
ENSG00000117222;;"Cluster;Outlier";ENSG00000117222;ENSG00000117222;;5929|RBQ3|RBBP5|SWD1;RBQ3;RBBP5;111864;5929
ENSG00000114423;;Outlier;ENSG00000114423;ENSG00000114423;;Nbla00127|RNF56|868|CBLB|Cbl-b;Nbla00127;CBLB;107316;868
ENSG00000110395;;Outlier;ENSG00000110395;ENSG00000110395;;NSLL|RNF55|C-CBL|FRA11B|867|CBL2|CBL;NSLL;CBL;107315;867
ENSG00000115290;;Outlier;ENSG00000115290;ENSG00000115290;ENSG00000115290;2888|GRB14;GRB14;GRB14;109145;2888
ENSG00000115145;;Outlier;ENSG00000115145;ENSG00000115145;;Hbp|10254|STAM2A|STAM2|STAM2B;Hbp;STAM2;115548;10254
ENSG00000242689;;Outlier;ENSG00000242689;ENSG00000242689;ENSG00000242689;CNTF|HCNTF|1270;CNTF;CNTF;107670;1270
